datetime,requests,emissions
2022-01-16 00:00:00,2368,806019.6839613945
2022-01-16 01:00:00,2766,1128467.877521535
2022-01-16 02:00:00,3061,1189282.0002311815
2022-01-16 03:00:00,3209,1283839.9130477062
2022-01-16 04:00:00,3312,1333691.5332981837
2022-01-16 05:00:00,3489,1350202.6510562035
2022-01-16 06:00:00,3565,1370836.2075274033
2022-01-16 07:00:00,3653,1457110.9056641122
2022-01-16 08:00:00,3795,1520152.4979388874
2022-01-16 09:00:00,3964,1546514.912001781
2022-01-16 10:00:00,4250,1672483.1389928039
2022-01-16 11:00:00,4489,1762667.3142302907
2022-01-16 12:00:00,4720,1864645.3359095934
2022-01-16 13:00:00,4784,1885806.0387735348
2022-01-16 14:00:00,4701,1862058.5393539586
2022-01-16 15:00:00,4395,1809837.2576870858
2022-01-16 16:00:00,3957,1661037.6598673996
2022-01-16 17:00:00,3370,1404591.6061278756
2022-01-16 18:00:00,2746,1155905.3141561972
2022-01-16 19:00:00,2329,968703.3174943611
2022-01-16 20:00:00,2033,819008.2626211272
2022-01-16 21:00:00,1883,754268.0211809085
2022-01-16 22:00:00,1879,744130.0814583388
2022-01-16 23:00:00,2119,837767.2979207505
2022-01-17 00:00:00,2368,914931.0195967961
2022-01-17 01:00:00,2766,971354.0950024117
2022-01-17 02:00:00,3061,1077400.5606958673
2022-01-17 03:00:00,3209,1129256.0758664508
2022-01-17 04:00:00,3312,972889.4457374206
2022-01-17 05:00:00,3489,1225254.6797626032
2022-01-17 06:00:00,3565,1277881.7954427646
2022-01-17 07:00:00,3653,1436424.1672715214
2022-01-17 08:00:00,3795,1285481.4693858162
2022-01-17 09:00:00,3964,1344532.4829915063
2022-01-17 10:00:00,4250,1456137.0929634564
2022-01-17 11:00:00,4489,1538797.0731073162
2022-01-17 12:00:00,4720,1625536.09725428
2022-01-17 13:00:00,4784,1632912.5023812628
2022-01-17 14:00:00,4701,1806442.7433712578
2022-01-17 15:00:00,4395,1697784.2555372203
2022-01-17 16:00:00,3957,1581244.7200464592
2022-01-17 17:00:00,3370,1276105.6606499192
2022-01-17 18:00:00,2746,1032583.5067865265
2022-01-17 19:00:00,2329,877469.8497993115
2022-01-17 20:00:00,2033,714091.9131491269
2022-01-17 21:00:00,1883,712681.0513660524
2022-01-17 22:00:00,1879,612810.287463496
2022-01-17 23:00:00,2119,775238.0062287531
2022-01-18 00:00:00,2368,696117.1852072552
2022-01-18 01:00:00,2766,908460.9098457536
2022-01-18 02:00:00,3061,831366.9066958451
2022-01-18 03:00:00,3209,716071.2169145588
2022-01-18 04:00:00,3312,732531.4045835391
2022-01-18 05:00:00,3489,773784.0279004405
2022-01-18 06:00:00,3565,797178.4547614412
2022-01-18 07:00:00,3653,1023139.1111238896
2022-01-18 08:00:00,3795,1064172.15975892
2022-01-18 09:00:00,3964,1301100.6487757189
2022-01-18 10:00:00,4250,1200550.5307256423
2022-01-18 11:00:00,4489,1315700.5133903453
2022-01-18 12:00:00,4720,1775277.168460779
2022-01-18 13:00:00,4784,1678732.5236465605
2022-01-18 14:00:00,4701,1873922.4708591131
2022-01-18 15:00:00,4395,1618627.5475964902
2022-01-18 16:00:00,3957,1231821.7912701427
2022-01-18 17:00:00,3370,1134260.8277183296
2022-01-18 18:00:00,2746,942999.4087795013
2022-01-18 19:00:00,2329,822563.4731066591
2022-01-18 20:00:00,2033,699725.98170902
2022-01-18 21:00:00,1883,530662.7197126234
2022-01-18 22:00:00,1879,489586.65832653496
2022-01-18 23:00:00,2119,529007.7249268072
2022-01-19 00:00:00,2368,764973.8701030847
2022-01-19 01:00:00,2766,811005.4166576887
2022-01-19 02:00:00,3061,902173.65135292
2022-01-19 03:00:00,3209,937616.3635827117
2022-01-19 04:00:00,3312,922167.5792072376
2022-01-19 05:00:00,3489,846416.2105946577
2022-01-19 06:00:00,3565,1045890.7556507922
2022-01-19 07:00:00,3653,1117893.3671960395
2022-01-19 08:00:00,3795,1111825.8426424824
2022-01-19 09:00:00,3964,1384109.1319229712
2022-01-19 10:00:00,4250,1282170.8044392534
2022-01-19 11:00:00,4489,1394063.3872270223
2022-01-19 12:00:00,4720,1486138.0259215715
2022-01-19 13:00:00,4784,1682914.0422967356
2022-01-19 14:00:00,4701,1648912.8821174474
2022-01-19 15:00:00,4395,1553862.968372256
2022-01-19 16:00:00,3957,1425507.2178440497
2022-01-19 17:00:00,3370,832773.1409930119
2022-01-19 18:00:00,2746,1001651.6389841009
2022-01-19 19:00:00,2329,839021.0502458666
2022-01-19 20:00:00,2033,649169.9163623024
2022-01-19 21:00:00,1883,563301.7684859331
2022-01-19 22:00:00,1879,521277.3607702438
2022-01-19 23:00:00,2119,403557.8443482441
2022-01-20 00:00:00,2368,654692.3972153106
2022-01-20 01:00:00,2766,744298.4595803234
2022-01-20 02:00:00,3061,996946.9152233527
2022-01-20 03:00:00,3209,1050561.7227703452
2022-01-20 04:00:00,3312,1078084.3136215622
2022-01-20 05:00:00,3489,1355786.438016729
2022-01-20 06:00:00,3565,1061778.1480845215
2022-01-20 07:00:00,3653,1202619.052264825
2022-01-20 08:00:00,3795,1250488.7159742592
2022-01-20 09:00:00,3964,1305053.4336874925
2022-01-20 10:00:00,4250,1690847.7005783664
2022-01-20 11:00:00,4489,1735754.2538928706
2022-01-20 12:00:00,4720,1817230.2353645787
2022-01-20 13:00:00,4784,1846464.4266845644
2022-01-20 14:00:00,4701,1881445.9396184795
2022-01-20 15:00:00,4395,1750807.8876506283
